"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
21,14,6,11,10,1,3,5,5,9,4,5,11,2,2,5,5,4,7,5,3,3,0,2,4,25,3,2,2,6,5,6,2,2,4,4,5,21,9,2,2,5,5,6,2,7,4,3,7,2
19,8,15,9,2,12,4,4,3,20,4,7,1,8,6,7,6,4,5,0,4,3,3,2,4,28,10,5,5,5,10,5,3,6,6,1,4,30,1,11,1,9,5,4,4,8,4,2,7,2
19,9,8,5,8,2,5,4,6,12,7,6,3,9,4,5,12,6,7,3,2,6,3,6,1,31,5,2,5,5,7,4,4,7,5,4,8,21,7,8,4,7,9,5,6,4,3,5,3,5
13,10,6,3,8,3,7,2,4,11,5,3,2,7,4,4,6,5,5,8,4,9,4,3,5,26,4,1,5,4,7,3,5,8,9,7,1,22,2,6,5,1,3,3,6,2,5,6,1,4
19,9,10,6,11,6,4,4,7,22,4,10,4,9,2,6,4,5,3,6,5,4,5,8,5,21,2,7,5,0,3,3,3,7,0,5,8,25,6,2,2,2,8,4,5,6,7,9,2,4
28,13,8,8,8,6,0,8,2,14,5,6,5,7,1,3,4,3,4,5,5,7,6,9,1,25,7,3,6,2,5,6,6,5,5,5,3,35,6,6,3,9,4,9,2,5,7,3,4,5
26,9,5,5,9,7,2,6,2,12,5,7,4,3,6,4,6,2,6,2,4,8,1,8,5,17,4,2,2,7,5,5,5,4,3,4,5,23,4,2,2,2,4,5,9,5,0,7,3,5
23,8,10,3,5,4,4,6,3,13,4,2,5,3,5,0,3,3,1,6,6,6,5,4,5,31,3,9,5,6,4,5,6,1,5,4,5,29,7,7,5,1,5,5,4,5,8,1,4,5
28,11,10,5,8,3,3,4,7,15,9,5,5,9,7,2,5,5,3,4,4,2,6,2,6,25,4,3,8,1,8,4,4,3,2,2,5,27,4,5,4,1,6,1,0,4,3,9,4,3
21,13,18,6,12,10,3,1,4,13,3,7,5,8,5,9,9,4,7,4,3,5,5,3,2,29,3,8,6,10,3,3,3,6,4,3,4,25,8,6,5,5,3,3,2,8,4,5,3,3
17,6,6,5,8,3,5,6,5,10,3,7,3,9,5,4,7,2,6,3,4,2,6,8,2,22,3,3,7,1,5,8,4,4,6,4,5,32,6,6,6,7,6,5,8,3,6,8,6,4
24,12,9,13,5,5,2,7,6,15,3,2,3,5,3,4,4,3,2,8,13,4,6,6,6,25,3,3,7,8,5,7,4,4,8,3,9,31,6,3,4,5,8,5,6,4,1,8,3,6
15,8,4,4,8,8,1,3,3,17,3,4,6,10,3,8,7,2,5,4,2,5,2,2,5,28,3,6,6,3,7,3,0,3,3,7,8,29,9,3,5,7,4,3,2,5,1,6,5,5
21,16,11,5,11,1,6,2,1,14,11,5,7,11,4,8,9,7,4,9,2,10,5,5,4,24,4,2,7,4,1,2,4,3,9,3,6,27,6,3,5,3,3,3,4,7,2,6,5,3
26,14,7,4,16,2,5,3,5,15,5,3,7,8,8,1,8,7,7,6,6,7,3,5,2,31,4,5,6,4,0,6,8,3,1,1,1,21,3,3,4,4,3,2,2,3,4,1,8,8
