"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
18,10,11,9,10,8,7,8,5,6,4,8,11,5,6,7,14,2,10,2,5,6,3,8,11,7,8,5,2,3,9,10,4,9,8,3,6,3,4,3,5,4,0,3,9,8,8,1,5,3,22,6,6,3,4,5,3,6,2,6,2,1,3,8,4,9,41,3,5,1,4,7,8,5,3,3,4,3,4,7,3,5,8,38,7,6,6,8,1,12,1,5,3,0,4,6,5,7,4,3
12,5,7,5,4,7,8,3,4,11,6,15,20,2,4,13,10,3,5,9,6,9,7,7,7,6,6,5,6,3,1,10,5,8,4,2,7,7,3,5,3,5,4,7,7,4,6,2,5,5,42,5,6,5,2,4,6,5,6,6,2,3,10,7,6,3,25,4,5,6,1,2,4,3,4,7,6,2,4,3,9,4,9,46,9,3,5,4,4,6,3,14,9,9,6,5,4,2,9,6
16,6,10,14,5,8,6,3,7,12,2,9,9,1,6,3,9,5,12,4,8,6,4,3,9,11,5,5,9,3,5,13,6,5,4,7,4,5,8,4,8,10,4,8,3,3,4,5,7,8,36,9,7,6,1,6,10,5,1,5,9,6,2,6,3,5,51,8,5,3,6,5,2,6,10,5,5,4,4,5,6,8,3,37,2,2,2,6,8,1,6,5,3,6,6,5,5,7,11,4
10,3,5,5,3,9,11,4,4,6,8,11,13,7,7,3,8,5,7,2,8,6,5,4,13,8,3,9,4,3,5,8,2,9,3,4,5,3,9,2,2,3,4,5,1,3,6,2,5,7,38,5,5,3,4,6,6,5,4,2,6,4,3,6,2,5,40,4,4,1,6,10,8,3,3,4,8,3,7,2,3,3,6,43,1,7,3,6,4,2,5,4,2,4,8,5,6,5,5,6
10,7,10,9,2,8,5,4,10,11,2,12,16,5,2,9,16,7,8,1,4,8,5,3,5,4,5,7,7,1,4,8,5,6,7,9,4,4,9,4,6,5,9,7,4,7,3,8,7,5,40,4,4,4,9,9,0,6,2,10,5,4,2,2,5,11,43,3,3,5,6,5,6,6,8,5,3,3,3,9,10,7,6,35,3,5,4,4,6,2,9,5,3,1,5,2,6,4,10,7
14,9,10,10,12,12,8,4,11,13,2,8,10,3,10,5,6,8,9,7,3,5,6,2,10,5,8,3,5,5,5,10,3,7,4,6,4,2,8,5,4,6,4,5,3,3,5,4,4,4,37,5,5,4,5,5,5,4,6,3,8,2,5,4,5,6,40,0,4,9,6,0,3,4,6,9,4,6,2,2,1,5,5,34,3,4,5,3,5,3,5,5,4,2,4,6,6,4,3,4
8,5,11,7,4,4,11,5,4,11,6,11,11,0,5,6,8,6,8,4,4,9,6,5,6,5,3,8,7,5,2,0,2,9,4,4,2,4,10,3,4,4,3,7,3,5,7,4,1,3,31,10,3,1,6,2,8,6,10,3,4,5,5,3,5,8,37,9,4,3,2,5,7,2,5,3,3,3,5,5,9,6,3,43,5,5,3,3,7,5,6,5,6,7,2,4,5,3,4,8
23,4,9,9,7,4,7,6,8,9,0,5,16,4,6,9,10,4,4,4,9,4,5,7,12,9,7,2,6,4,6,6,5,6,11,1,4,4,9,4,4,9,4,1,5,4,6,4,5,4,28,2,6,4,6,8,4,5,4,6,3,6,6,2,5,7,43,6,7,3,6,6,5,2,5,9,1,5,3,4,2,6,10,19,4,5,5,9,6,1,3,1,3,1,3,2,4,8,2,4
12,7,5,9,8,14,4,5,11,14,4,16,12,5,6,8,11,9,5,6,8,9,4,8,10,7,5,3,8,1,2,10,1,7,8,9,4,3,7,5,5,9,3,3,5,7,8,9,6,6,29,9,2,4,8,4,0,1,1,3,6,5,4,6,3,5,40,7,5,4,4,4,4,8,5,5,7,4,5,3,5,2,8,42,5,6,0,4,5,5,3,6,4,11,2,3,2,4,5,5
11,7,14,6,5,6,4,3,3,12,3,10,14,5,4,7,10,4,13,8,3,2,3,3,7,6,4,8,8,3,1,6,5,8,6,4,1,6,6,4,4,5,2,6,5,5,2,10,3,5,33,5,6,3,10,9,6,2,6,3,4,4,3,4,3,3,31,2,4,5,3,9,5,8,2,2,4,5,2,6,4,3,3,31,7,5,5,2,8,2,3,1,8,6,5,5,5,2,7,3
